ntdid,agency,acronym,mode,ntd_mode,region,type_of_svc,month,year,vrh
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,9,2020,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,10,2020,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,11,2020,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,12,2020,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,1,2021,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,2,2021,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,3,2021,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,4,2021,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,5,2021,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,6,2021,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,7,2021,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,8,2021,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,9,2021,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,10,2021,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,11,2021,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,12,2021,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,1,2022,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,2,2022,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,3,2022,0
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",DO,4,2022,0
